"MJD" "Flux" "Error"
56790.5311 3.347944 0.051488925
56791.13023 3.4123864 0.053400594
56791.46065 3.294384 0.04870145
56791.86229 3.45201 0.052963885
56792.00421 3.4165403 0.05667244
56792.34043 3.5575533 0.05101833
56793.3397 3.5601916 0.05105319
56793.74284 3.520672 0.054794837
56794.19017 3.4925937 0.057611856
56794.85682 3.4748307 0.05738806
56795.38778 3.3869934 0.0632559
56796.3881 3.583582 0.05291912
56797.72183 3.7606826 0.05427877
56798.00488 3.7097902 0.05782056
56798.72269 3.5919096 0.04928747
56799.05893 3.5505392 0.049819937
56799.52244 3.4489816 0.047491724
56799.85646 3.3692443 0.051936646
56800.32287 3.571574 0.05074196
56800.59313 3.6355237 0.05192071
56801.59212 3.5645074 0.04784546
56802.12474 3.57748 0.04812383
56804.587 3.5440665 0.054502436
56805.47112 3.5339123 0.050421436
56805.86626 3.5057355 0.05018136
56806.38722 3.5482918 0.051960516
56806.72091 3.4874532 0.04989666
56807.38592 3.5255947 0.05194985
56808.05238 3.5468468 0.05183617
56808.38586 3.7334702 0.054362887
56808.71813 3.4770018 0.053025724
56809.05188 3.5245207 0.05195726
56809.38585 3.6545653 0.053448605
56809.71918 3.569313 0.054117623
56810.05198 3.5265797 0.05197007
56810.38587 3.597859 0.05280333
56810.71814 3.632071 0.059388265
56811.25284 3.5469715 0.05359181
56811.52006 3.6853526 0.05577891
56811.8683 3.802064 0.05725135
56812.05215 3.7262535 0.055631483
56812.3849 3.5559026 0.053998096
56812.72362 3.8905944 0.059888194
56813.4708 3.7190127 0.052728685
56814.05205 3.8286353 0.0611376
56814.12218 3.858659 0.05304755
56814.45262 3.7373808 0.054983296
56815.19412 3.8545413 0.057656003
56815.45283 4.003178 0.06113676
56815.72619 4.0918745 0.060250406
56817.12148 4.3618128 0.05866962
56817.58885 4.3566252 0.05309025
56817.73767 4.4074024 0.064399327
56818.20244 4.5384754 0.067565637
56818.45669 4.542557 0.06365173
56819.19353 4.3967827 0.06459276
56819.72476 4.5657705 0.065643703
56820.07168 4.303654 0.063512314
56820.13489 4.441366 0.065140926
56820.1869 4.4857283 0.064830134
56821.40212 4.308446 0.06098182
56821.86255 4.1782238 0.06131444
56822.65346 4.2067827 0.063816214
56824.11747 4.2666825 0.06455918
56824.86061 4.0216667 0.058900405
56825.04983 4.0750274 0.058317885
56825.456 4.007494 0.04550874
56825.92884 4.0384366 0.06079244
56826.26142 3.742009 0.056171233
56826.53656 3.6832428 0.05379429
56826.92776 3.654277 0.0551541
56827.38237 3.5649957 0.0524489
56827.65088 3.5773613 0.05425585
56827.9265 3.6353028 0.05490223
56828.05307 3.6539114 0.04434681
56828.51622 3.5478653 0.053900666
56829.31467 3.4500025 0.05474309
56829.64979 3.5589417 0.05258047
56829.9204 3.5453194 0.05333288
56831.51962 3.5170993 0.035585853
56833.58516 3.4690753 0.03499073
